127.0.0.1 - - [11/May/2021:20:06:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/May/2021:20:06:54 +0530] "GET /RiceLand/ HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [11/May/2021:20:06:54 +0530] "GET /RiceLand/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:06:54 +0530] "GET /RiceLand/assets/js/smooth-scroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:07:18 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:07:18 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:07:23 +0530] "GET /RiceLand/ HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [11/May/2021:20:07:56 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:07:56 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:02 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:19 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:24 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:24 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:30 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8143
0:0:0:0:0:0:0:1 - - [11/May/2021:20:08:33 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 200 8071
0:0:0:0:0:0:0:1 - - [11/May/2021:20:10:11 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8143
0:0:0:0:0:0:0:1 - - [11/May/2021:20:10:13 +0530] "GET /RiceLand/productdetail.jsp?id=6 HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:05 +0530] "POST /RiceLand/ReviewSevrlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:05 +0530] "GET /RiceLand/productdetail.jsp?id=6 HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:13 +0530] "GET /RiceLand/AddToCart?pid=6&uid=1&pname=Parboiled%20Rice&price=113 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:13 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:19 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:19 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:24 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=1&pid=6&prc=113 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:24 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:27 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=1&pid=6&prc=113 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:27 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:44 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:44 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:49 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:49 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [11/May/2021:20:11:54 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/May/2021:20:14:42 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:14:42 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:16:24 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:16:24 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [11/May/2021:20:16:36 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [11/May/2021:20:16:39 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:31 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:31 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:36 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:39 +0530] "GET /RiceLand/CheckoutOrder?uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:39 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:53 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [11/May/2021:20:26:57 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:12 +0530] "GET /RiceLand/bill.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:41 +0530] "GET /RiceLand/profile.jsp HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:51 +0530] "POST /RiceLand/UserEditServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:51 +0530] "GET /RiceLand/profile.jsp HTTP/1.1" 200 7618
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:58 +0530] "GET /RiceLand/profile.jsp HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [11/May/2021:20:27:58 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [11/May/2021:20:28:52 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8288
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:05 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:05 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:10 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:10 +0530] "GET /RiceLand/admin/admin.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:16 +0530] "GET /RiceLand/admin/showUsers.jsp HTTP/1.1" 200 10496
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:25 +0530] "GET /RiceLand/admin/showOrders.jsp?id=1 HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:32 +0530] "GET /RiceLand/CompletedOrder?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:32 +0530] "GET /RiceLand/admin/showOrders.jsp?id=5 HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:35 +0530] "GET /RiceLand/admin/showOrders.jsp?id=5 HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:35 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:46 +0530] "GET /RiceLand/admin/showUsers.jsp HTTP/1.1" 200 10496
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:48 +0530] "GET /RiceLand/admin/showOrders.jsp?id=1 HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [11/May/2021:20:29:55 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [11/May/2021:20:30:09 +0530] "GET /RiceLand/admin/editProduct.jsp?id=1 HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [11/May/2021:20:30:13 +0530] "POST /RiceLand/EditProductDetail HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:30:13 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [11/May/2021:20:30:38 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [11/May/2021:20:30:39 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:11 +0530] "GET /RiceLand/admin/showUsers.jsp HTTP/1.1" 200 10496
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:18 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:18 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:27 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:27 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11602
0:0:0:0:0:0:0:1 - - [11/May/2021:20:31:56 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 6283
0:0:0:0:0:0:0:1 - - [11/May/2021:20:32:09 +0530] "GET /RiceLand/bill.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [11/May/2021:20:32:22 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 7629
0:0:0:0:0:0:0:1 - - [11/May/2021:20:32:25 +0530] "GET /RiceLand/productdetail.jsp?id=6 HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [11/May/2021:20:32:30 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2021:20:32:30 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
