127.0.0.1 - - [14/May/2021:18:54:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:39 +0530] "GET /RiceLand/ HTTP/1.1" 200 10979
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:39 +0530] "GET /RiceLand/assets/css/style.css HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:39 +0530] "GET /RiceLand/assets/js/smooth-scroll.js HTTP/1.1" 200 19560
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/rice/mainn.jpg HTTP/1.1" 200 33497
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/rice/basmati.jpeg HTTP/1.1" 200 74067
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/rice/valencia%201.jpg HTTP/1.1" 200 57403
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/rice/parboiled.jpeg HTTP/1.1" 200 18628
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/rice/wild%20rice.jpg HTTP/1.1" 200 77144
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/testimonial/user%201.jpeg HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/testimonial/user2.jpeg HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/testimonial/user3.jpeg HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/logo/kohi.jpg HTTP/1.1" 200 28582
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/logo/godrej.jpeg HTTP/1.1" 200 5037
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/logo/amazon.jpeg HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:40 +0530] "GET /RiceLand/assets/images/logo/paypal.jpg HTTP/1.1" 200 34937
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:43 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [14/May/2021:18:54:45 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
