127.0.0.1 - - [18/May/2021:09:22:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/May/2021:09:22:10 +0530] "GET /RiceLand/ HTTP/1.1" 200 10979
0:0:0:0:0:0:0:1 - - [18/May/2021:09:22:30 +0530] "GET /RiceLand/ HTTP/1.1" 200 10979
0:0:0:0:0:0:0:1 - - [18/May/2021:09:41:29 +0530] "GET /RiceLand/ HTTP/1.1" 200 10979
0:0:0:0:0:0:0:1 - - [18/May/2021:09:41:46 +0530] "GET /RiceLand/productdetail.jsp?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:41:46 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [18/May/2021:09:41:54 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:08 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:16 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:16 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:22 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:22 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:35 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 200 8071
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:40 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:41 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8288
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:41 +0530] "GET /RiceLand/assets/images/rice/matta.jpeg HTTP/1.1" 200 62784
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:47 +0530] "GET /RiceLand/productdetail.jsp?id=3 HTTP/1.1" 200 6793
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:50 +0530] "GET /RiceLand/AddToCart?pid=3&uid=1&pname=Valencia%20Rice&price=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:50 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:54 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=1&pid=3&prc=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:54 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:56 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=1&pid=3&prc=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:56 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:57 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=1&pid=3&prc=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:42:57 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:10 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=1&pid=3&prc=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:10 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:11 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=1&pid=3&prc=300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:11 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:38 +0530] "GET /RiceLand/CheckoutOrder?uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:09:43:38 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 6782
