0:0:0:0:0:0:0:1 - - [10/May/2021:21:37:58 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [10/May/2021:21:38:32 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8845
0:0:0:0:0:0:0:1 - - [10/May/2021:21:38:32 +0530] "GET /RiceLand/assets/images/rice/parboiled.jpeg HTTP/1.1" 200 18628
0:0:0:0:0:0:0:1 - - [10/May/2021:21:38:54 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11770
0:0:0:0:0:0:0:1 - - [10/May/2021:21:38:57 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8845
0:0:0:0:0:0:0:1 - - [10/May/2021:21:38:58 +0530] "GET /RiceLand/productdetail.jsp?id=4 HTTP/1.1" 200 7408
0:0:0:0:0:0:0:1 - - [10/May/2021:21:39:00 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8845
0:0:0:0:0:0:0:1 - - [10/May/2021:21:39:02 +0530] "GET /RiceLand/productdetail.jsp?id=7 HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [10/May/2021:21:39:07 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 200 8845
0:0:0:0:0:0:0:1 - - [10/May/2021:21:39:55 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 200 8071
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:08 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:08 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:09 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:09 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:16 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:16 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11770
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:19 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:19 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11770
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:23 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11770
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:23 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:26 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:26 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:27 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11017
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:37 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:48 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:48 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11771
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:55 +0530] "GET /RiceLand/productdetail.jsp?id=4 HTTP/1.1" 200 7409
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:59 +0530] "GET /RiceLand/AddToCart?pid=4&uid=3&pname=Wild%20Rice&price=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:40:59 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:04 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:04 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:06 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:06 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:09 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:09 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:10 +0530] "GET /RiceLand/AddSubCartItem?msg=add&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:10 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:11 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:11 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:12 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:12 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:13 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:13 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:14 +0530] "GET /RiceLand/AddSubCartItem?msg=sub&uid=3&pid=4&prc=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:14 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 6707
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:19 +0530] "GET /RiceLand/DeleteCartItem?uid=3&pid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:19 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 5900
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:21 +0530] "GET /RiceLand/cart.jsp HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:21 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:27 +0530] "GET /RiceLand/orders.jsp HTTP/1.1" 200 5788
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:34 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:34 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:45 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:45 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:51 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:51 +0530] "GET /RiceLand/admin/admin.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [10/May/2021:21:41:56 +0530] "GET /RiceLand/admin/showUsers.jsp HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:01 +0530] "GET /RiceLand/admin/showOrders.jsp?id=1 HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:08 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:21 +0530] "GET /RiceLand/admin/showUsers.jsp HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:23 +0530] "GET /RiceLand/admin/showOrders.jsp?id=1 HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:27 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:38 +0530] "GET /RiceLand/admin/editProduct.jsp?id=2 HTTP/1.1" 200 5714
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:45 +0530] "POST /RiceLand/EditProductDetail HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:45 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:47 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:47 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:42:53 +0530] "GET /RiceLand/admin/addProduct.jsp HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:12 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:13 +0530] "GET /RiceLand/admin/editProduct.jsp?id=2 HTTP/1.1" 200 5714
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:26 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:28 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:29 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:30 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:32 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:33 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:41 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:41 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:43 +0530] "GET /RiceLand/admin/showProduct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:43:43 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:44:07 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [10/May/2021:21:44:15 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [10/May/2021:21:44:15 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:44:17 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:44:20 +0530] "GET /RiceLand/register.jsp HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [10/May/2021:21:46:36 +0530] "POST /RiceLand/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:46:36 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:46:52 +0530] "POST /RiceLand/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:46:52 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11605
0:0:0:0:0:0:0:1 - - [10/May/2021:21:48:10 +0530] "GET /RiceLand/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:48:10 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
